,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
86,Eunos Green,0.713729632,0.999267399,0.446306036,-0.308999836,0
87,The Canopy,0.718729285,0.779851948,0.545744541,0.180663347,0.199190718
88,Trellis Towers,0.379838698,0,0.609528446,0.015350193,0
89,Simsville,0.908640119,0,0.400021581,-0.309062501,0.44038415
90,Dunman View,0.702951469,0,0.553158494,0.051112324,-0.666085958
91,Allsworth Park,0.481777673,0.999653935,0.450895488,0.018168285,0
92,The Madeira,0.690446696,-0.332898299,0.534156795,0.635217515,0.151643746
93,Carissa Park Condominium,0.998937732,0.997601449,0.65863191,0.438818344,0.999687076
94,The Loft,0.762009963,0.58834743,0.544241463,0.315543679,0.674539485
95,Ville Royale,0.998865306,0,0.454879696,-0.963344425,0
96,Tanglin Park,0.826324561,0,0.415490514,0.011871139,0.996046364
97,Terrene At Bukit Timah,0.86621546,-0.999607146,0.398769221,-0.963344425,-0.997041434
98,Nineteen Shelford Road,0.612823866,0,0.228717974,-0.308999836,0
99,The Regency At Tiong Bahru,0.665879597,0,0.333814383,-0.963344425,0
100,Parc Vista,0.963930535,0,0.602603606,-0.493974173,0
101,Tanamera Crest,0.547881704,-0.005097002,0.368402923,0.192969161,0.998981476
102,Grande Vista,0.8560389,0.789056447,0.550368239,0.333458145,0.999684589
103,The Geranium,0.33408465,0.997532487,0.411785323,0.013299987,0
104,Cluny Park Residence,0.767885396,0.506147243,0.632765775,0.676687846,0.999436239
105,Ocean Park,0.843345551,0.999477297,0.623324966,0.431976067,0.66645968
106,Anchorvale Crescent,0.699145376,0.996487617,0.261046857,0.011853665,0
107,Sommerville Park,0.563378067,-0.17070967,0.374722023,0.416645429,0.333241304
108,The Luxurie,0.801499262,-0.292734418,0.354141129,0.257046103,0.127711586
109,St. Martin Residence,0.902456204,0.200322366,0.575295879,0.555636611,0.599979734
110,Seascape,0.572444515,0.831317847,0.572404753,0.17493606,0.427156637
