,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
81,Tanglin Hill Condominium,0.626086265,0,0.197258151,0.018016487,0
82,Clydesview,0.849928576,0.998270869,0.617004457,0.345084051,0.992485881
83,Martin Place Residences,0.842178255,0.666490108,0.644103473,0.436493031,0.99968636
84,8 @ Mount Sophia,0.998960265,0,0.347396624,-0.963344425,0
85,Grange Residences,0.869567044,0.999678016,0.529227695,-0.481660321,0.999687076
86,Residences @ Evelyn,0.998921514,0,0.290545951,-0.312757254,0
87,The Gardens At Bishan,0.667627489,0.541221631,0.400707768,0.199428272,0.71048063
88,Cliveden At Grange,0.993134026,0.998596609,0.676857809,0.211481011,0.99968636
89,Reflections At Keppel Bay,0.785576282,0.739218137,0.583599404,0.651455904,0.996089121
90,Southaven II,0.999060124,-0.998303056,0.480867616,0.017928869,0
91,Waterfront Key,0.842725161,0.635967775,0.269086498,-0.193532869,0.399135339
92,Springdale Condominium,0.970332122,0,0.335805527,-0.482146338,0.999684691
93,The Gale,0.981245565,0,0.499037065,-0.963344425,0
94,Waterview,0.65133444,0.388761648,0.350980136,0.119986236,0.92738159
95,Palm Isles,0.536202862,0.002899408,0.576969078,0.01143689,0.999686599
96,Woodgrove Condominium,0.750485102,0,0.330990454,0.007036537,0
97,Corals At Keppel Bay,0.702166671,0.60016679,0.512305978,0.431872949,0.62618883
98,The Wharf Residence,0.993468629,0,0.203136851,-0.963344425,0
99,Hillcrest Arcadia,0.81096902,0,0.494485438,0.158463664,-0.07192418
100,Eastpoint Green,0.713489635,0,0.310202662,-0.482146338,0.999684691
101,Avila Gardens,0.999000154,0.000186175,0.54190135,0.359571901,0
102,Goldenhill Park Condominium,0.602536842,0.99967885,0.417032048,-0.132765463,0.867604017
103,The Sound,0.172529095,-0.621052482,0.202720497,0.255273757,-0.350859811
104,Versilia On Haig,0.989635592,0,0.571539321,0.018124595,0.999586403
105,Echelon,0.98272104,-0.003306627,0.563644775,0.495402927,0
106,Waterfall Gardens,0.998776484,0.937457025,0.454855149,-0.309722543,0
107,Soleil @ Sinaran,0.997227331,0.904157698,0.653862503,0.344318877,0.71048075
108,Westpoint Condominium,0.989369204,0,0.332524031,-0.963344425,0
109,Guilin View,0.731174073,0.995288834,0.387563982,0.338123552,-0.213721474
110,Seastrand,0.610282644,0.996382654,0.650971909,0.406946605,0.19943037
111,The Berth By The Cove,0.440043596,0.999687433,0.514433538,0.436811498,-0.666085958
112,The Sea View,0.699299291,0.333008627,0.531421925,0.01813665,0.333594143
113,Azalea Park Condominium,0.998521779,0,0.292200674,-0.963344425,0
114,Duchess Manor,0.998751189,0,0.221458972,-0.963344425,0
115,Ris Grandeur,0.753582686,0,0.28180551,-0.309244295,0.999687791
116,One Amber,0.999361646,0,0.355839656,-0.309088568,0
117,La Fiesta,0.763082623,0.63270454,0.223501265,0.406848139,-0.185821235
118,Parc Stevens,0.99869935,0,0.221458972,-0.963344425,0
119,Park East,0.81596176,0.00059393,0.583156927,0.521616039,0.477994919
120,Eight Riversuites,0.267438943,0.134639859,0.202552066,0.018163785,0.855082542
121,SunGlade,0.669279158,0,0.386511586,-0.185925877,0.999684691
122,Urbana,0.86037581,0.998329759,0.842761944,0.585573658,0.713971989
123,Euro-Asia Park,0.710666025,0.999684572,0.710630897,0.345036546,0.999687076
124,The Palette,0.543475104,0.320165072,0.471520253,0.101398842,0.350225091
125,Urban Vista,0.605548617,-0.998856962,0.288579756,0.047792112,-0.332417409
126,The Glyndebourne,0.682711575,0,0.393100114,0.560911993,6.14E-05
127,Laguna Green,0.714329881,0,0.292200674,-0.963344425,0
128,Holland 100,0.997613996,0,0.250857905,-0.309000989,0.999685287
129,The Makena,0.832871805,0,0.620067161,-0.481660321,0
130,Yishun Emerald,0.978337833,0,0.491923307,0.011797895,0.999684691
131,Duchess Crest,0.998711492,0,0.221458972,-0.963344425,0
132,Gilstead Court,0.998709074,0,0.292200674,-0.963344425,0
133,Twin Waterfalls,0.999663413,0.01337415,0.498640388,0.257025205,0
134,Changi Court,0.331514458,0.989533037,0.645272322,0.017732278,0.444512904
135,The Coast at Sentosa Cove,0.586655033,0.703386396,0.44085531,0.670408855,0.998761058
136,Central Grove,0.981766593,0,0.275358833,-0.963344425,0
137,Hundred Trees,0.762544066,0,0.199209046,0.018171594,0.999685287
138,Harbour View Towers,0.742634279,0,0.292200674,-0.963344425,0
139,Ardmore Park,0.821168314,0,0.396989819,0.196972466,0
140,Blue Horizon,0.918940794,0.812893131,0.420987333,0.463404609,0.959115818
141,The Anchorage,0.638176201,0.656613638,0.508995623,0.373680934,0.394970351
142,Arc at Tampines,0.559068358,0.999094009,0.202263415,0.017562091,0
143,Shunfu Road,0.77947483,0.760551385,0.668624386,0.153000704,0.999685287
144,Seletar Park Residence,0.625625014,0.00027433,0.534373365,0.279039811,0.001544744
145,Skies Miltonia,0.731963791,0.49949827,0.698930982,0.465988175,0.999682886
146,Le Crescendo,0.998954877,0,0.355839656,0.135964465,0
147,Q Bay Residences,0.660240398,0.9996653,0.492606951,0.672303552,0.999084696
148,368 Thomson,0.610434921,0.520278859,0.273143705,0.340589874,-0.331465304
149,Summerdale,0.787005001,0.998333037,0.57510195,-0.963344425,0.999273777
150,The Jovell,0.626049928,0.388862923,0.280725001,0.47143596,0.397545261
151,Archipelago,0.585612974,0.05490965,0.599338603,-0.013561636,0.33362025
152,d'Nest,0.670023267,0.868979013,0.331648471,0.214437759,0.71048075
153,Grandeur 8,0.999118166,0,0.42429546,0.259312272,0.999687135
154,Water Place,0,0,0.33216545,-0.963344425,0
155,Skyline 360 @ Saint Thomas Walk,0.626086265,0,0.088548276,-0.308999836,0
156,Tree House,0.50835225,0.678705548,0.349571805,0.502180375,0.386720098
157,Sage,0.576819179,0.666478762,0.365678781,0.61410867,0.776408364
158,Parc Emily,0.974218667,0.999685347,0.514136702,0.01583752,0
159,Charlton Lane,0.996695302,0.998704672,0.496461729,0.004774682,0
160,The Shelford,0.998776484,0,0.333814383,-0.963344425,0
161,Meraprime,0.800337183,0,0.238437039,0.150725552,0.99214536
162,Seasons Park,0.998881245,0,0.420217222,-0.963344425,0
163,Dynasty Garden,0.694995318,0.99967587,0.59427439,-0.863200814,0
164,Buckley Classique,0.89229579,0,0.474861372,-0.325971564,0
165,The Eden At Tampines,0.504452296,0,0.181274419,-0.963344425,0
166,Eastern Lagoon,0.891036334,0.666346103,0.54061689,0.438799807,0.666603893
167,The Grandhill,0.799228168,0.000462711,0.491764214,0.345072369,0.330671589
168,Waterfront Gold,0.995635897,0.463802417,0.443447701,-0.309006393,0
169,Tribeca,0.636747386,0.184529106,0.435465056,0.096246566,0.116553907
170,Kerrisdale,0.999373749,0,0.42005747,-0.963344425,0
171,Sophia Hills,0.677423391,-0.078624308,0.270048752,0.214418054,0.903283616
172,8 Saint Thomas,0.783055,0.680023662,0.463271528,0.129757908,0.532435405
173,Westmere,0.998017043,0,0.250588968,-0.963344425,0
174,The Florida,0.726641502,0,0.582499034,-0.00402081,0
175,Tresalveo,0.610657841,0.500201136,0.463503041,-0.974157115,0.999684274
176,The Sixth Avenue Residences,0.72764005,0.199924843,0.300920038,0.331989202,0.984358452
177,Bellewoods,0.899252907,0.713590494,0.598666376,0.508414119,0.99702549
178,Belmond Green,0.626086265,0,0.197258151,-0.308999836,0
179,Belysa,0,0,0.427330954,-0.963344425,0
180,Leonie Gardens,0.987951159,0,0.707552676,-0.963344425,0
181,Thomson 800,0.682599038,0.999684572,0.707057695,0.595087254,0
182,Rio Vista,0.719432358,0.906617939,0.527933223,0.563209381,0.855084091
183,Teresa Ville,0.998880991,0,0.292200674,-0.963344425,0
184,Nathan Road,0.998652961,0,0.419941413,-0.963344425,0
185,The Topiary,0.84468709,0,0.54251093,0.526408518,-0.707834452
186,Carabelle,0,0,0.427525563,-0.309041182,0
187,Ivory Heights,0.666026911,0.358828681,0.559014787,0.029503084,0.99783652
188,The Trilinq,0.473403615,0.234313396,0.358709617,0.600890765,-0.019392593
189,The Laurels,0.706615984,0.973677993,0.79881644,0.606164962,0.499843836
190,West Coast Crescent,0.999117088,0,0.275358833,-0.963344425,0
191,Clover By The Park,0.450793721,0.516163304,0.3253619,0.360647019,0.595963933
192,Parc Vera,0.716781182,1.11E-05,0.666486281,0.340254366,-0.805289805
193,Hillside Drive,0.966168289,0,0.543334526,-0.182281268,0
194,Banyan Condominium,0.624039599,0.749421194,0.478486569,0.000947282,0.174474704
195,Scotts 28,0.792129742,0,0.351157695,-0.963344425,0
196,Chiltern Park,0.507981219,0.708285481,0.426134804,0.103222034,-0.848962247
197,Eunos Green,0.713729632,0.999267399,0.446306036,-0.308999836,0
198,The Canopy,0.718729285,0.779851948,0.545744541,0.180663347,0.199190718
199,Trellis Towers,0.379838698,0,0.609528446,0.015350193,0
200,Simsville,0.908640119,0,0.400021581,-0.309062501,0.44038415
201,Dunman View,0.702951469,0,0.553158494,0.051112324,-0.666085958
202,Allsworth Park,0.481777673,0.999653935,0.450895488,0.018168285,0
203,The Madeira,0.690446696,-0.332898299,0.534156795,0.635217515,0.151643746
204,Carissa Park Condominium,0.998937732,0.997601449,0.65863191,0.438818344,0.999687076
205,The Loft,0.762009963,0.58834743,0.544241463,0.315543679,0.674539485
206,Ville Royale,0.998865306,0,0.454879696,-0.963344425,0
207,Tanglin Park,0.826324561,0,0.415490514,0.011871139,0.996046364
208,Terrene At Bukit Timah,0.86621546,-0.999607146,0.398769221,-0.963344425,-0.997041434
