,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,Rio Vista,0,0,0,0,0
1,Teresa Ville,0,0,0,0,0
2,The Petals,0.999075189,0.000889629,0.416774371,-0.321428925,0.999684691
3,Nathan Road,0,0,0,0,0
4,Holland Residences,0.590176334,0.647837206,0.346932827,0.388948812,0.145485759
5,The Topiary,0,0,0,0,0
6,Martin Modern,0.735763099,0.405273759,0.655185518,0.262988368,0.842643499
7,Windermere,0.691417707,0.186543608,0.046961874,0.018156573,0.647781372
8,Carabelle,0,0,0,0,0
9,Village @ Pasir Panjang,0.681679125,0.428556928,0.540235701,0.094820456,0.334312717
10,Ivory Heights,0,0,0,0,0
11,The Trilinq,0,0,0,0,0
12,The Laurels,0,0,0,0,0
13,West Coast Crescent,0,0,0,0,0
14,Terrasse,0.832813422,0.999670923,0.415935864,0.384414577,-0.331466059
15,Clover By The Park,0,0,0,0,0
16,Parc Vera,0,0,0,0,0
17,Hillside Drive,0,0,0,0,0
18,The Panorama,0.715853004,0.253214657,0.518430629,0.497125586,-0.247090645
19,Banyan Condominium,0,0,0,0,0
20,Savannah Condopark,0.786355419,0.515805393,0.368448586,0.257495992,0.238929768
21,Skypark Residences,0.868790062,0.781992385,0.452022646,0.255809352,-0.496540561
22,Gem Residences,0.530547383,0.43981965,0.640607876,0.162932831,0.124309395
23,Scotts 28,0,0,0,0,0
24,Chiltern Park,0,0,0,0,0
25,Eunos Green,0,0,0,0,0
26,1 Canberra,0.624087905,-0.819374025,0.22121112,0.214128232,0.199946809
27,The Canopy,0,0,0,0,0
28,Trellis Towers,0,0,0,0,0
29,Simsville,0,0,0,0,0
30,Dunman View,0,0,0,0,0
31,Allsworth Park,0,0,0,0,0
32,The Madeira,0,0,0,0,0
33,Carissa Park Condominium,0,0,0,0,0
34,Caspian,0.999429551,0.62020424,0.453921285,0.214473355,0.617209127
35,The Loft,0,0,0,0,0
36,Ville Royale,0,0,0,0,0
37,The Cairnhill,0.743438874,0.700096295,0.680558733,0.504692212,0.713684142
38,Tanglin Park,0,0,0,0,0
39,Terrene At Bukit Timah,0,0,0,0,0
40,Nineteen Shelford Road,0,0,0,0,0
41,The Regency At Tiong Bahru,0,0,0,0,0
42,Parc Vista,0,0,0,0,0
43,The Interlace,0.800323599,0.670073926,0.349018995,0.461429501,0.975202903
44,Tanamera Crest,0,0,0,0,0
45,Grande Vista,0,0,0,0,0
46,The Geranium,0,0,0,0,0
47,Cluny Park Residence,0,0,0,0,0
48,Ocean Park,0,0,0,0,0
49,Anchorvale Crescent,0,0,0,0,0
50,Sommerville Park,0,0,0,0,0
51,The Luxurie,0,0,0,0,0
52,St. Martin Residence,0,0,0,0,0
53,Seascape,0,0,0,0,0
54,The Merasaga,0,0,0,0,0
55,The Visionaire,0.875517448,0.276619711,0.755002065,0.66420615,0.999624833
56,Horizon Residences,0.904905051,0.185900939,0.594672698,-0.492877281,-0.331466099
57,H2O Residences,0.799276948,0.99967587,0.524777114,-0.050895307,-0.971690178
58,Flo Residence,0.651902734,0.591862836,0.394100544,0.367150242,0.542429662
59,Trevista,0.458860603,0.610663755,0.379490256,0.777574261,0.615836849
60,Twin Fountains,0.852340198,0.999661565,0.58108441,0.018162772,0.999676466
61,Sennett Residence,0,0,0,0,0
62,The Trizon,0.724773051,0.168788886,0.495612502,0.222414892,0.200996912
63,Regent Park,0,0,0,0,0
64,Nicon Gardens,0.655413439,0.231212199,0.28416835,0.343381613,-0.719478488
65,Turquoise,0.725588772,0.998629312,0.429874105,0.34269219,0.994684041
