,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,Horizon Residences,0.7897084024217393,0.33025066057840985,0.4844831429097963,0.1528508152280535,0.25071948766708374
1,H2O Residences,0.6008268833160401,0.9996758699417114,0.6435863115848639,0.23838597306838402,0.9996778964996338
2,Flo Residence,0.70989948197415,0.714698389172554,0.34411188662052156,0.2588237524032593,0.7104811072349548
3,Trevista,0.6028832157452901,0.6106637499549172,0.4481063567929798,0.7498101368546486,0.6158369282881418
4,Twin Fountains,0.0,0.0,0.0,0.0,0.0
5,Sennett Residence,0.0,0.0,0.0,0.0,0.0
6,The Trizon,0.7247731422269067,0.16878894567489625,0.4956124133533902,0.22241505292745736,0.20099691152572632
7,Regent Park,0.7310880223910013,-0.9974424421787262,0.48587855048801587,0.413400039953344,0.4975463077425957
8,Nicon Gardens,0.6937336104887503,0.23121050000190735,0.46609227888045773,0.06468120217323303,-0.7194800972938538
9,Turquoise,0.6306502421696981,0.6453579512296939,0.6394541558097391,0.730579920609792,0.6197772864252329
10,Bayshore Park,0.6722548007965088,0.8595757484436035,0.6395415724852146,0.3540799729526043,0.8839163929224014
11,Parc Rosewood,0.6155701285600662,0.48550552413577125,0.460194517387433,0.035149777928988137,0.22736309468746185
12,Viva,0.0,0.0,0.0,0.0,0.0
13,Cairnhill Crest,0.0,0.0,0.0,0.0,0.0
14,Hillsta,0.8821737931834327,0.40948388406208586,0.6467828310054281,0.5393320459585923,0.9996830821037292
15,Cape Royale,0.6022671096854739,0.32991574207941693,0.5652262416150835,0.5053129494190216,0.997989296913147
16,Peirce View Condominium,0.0,0.0,0.0,0.0,0.0
17,Rosewood,0.0,0.0,0.0,0.0,0.0
18,Hillview Park,0.0,0.0,0.0,0.0,0.0
19,Kensington Park Condominium,0.0,0.0,0.0,0.0,0.0
20,The Spectrum,0.5328960054450564,0.5075924396514893,0.3628238901015251,0.3934906881589156,0.6475072222597459
21,One Jervois,0.70900786511692,0.5565502889016095,0.6244003027677536,0.7917420079833583,0.666452685991923
22,The Esparis,0.0,0.0,0.0,0.0,0.0
23,The Cosmopolitan,0.5308338413978445,0.841639404113476,0.6027818083763122,0.500340786576271,0.42874338797160555
24,Hillington Green,0.0,0.0,0.0,0.0,0.0
25,Lake Life,0.9768754632576652,0.5994901776313781,0.44216504799468176,0.4972131848335266,0.499465212225914
26,Waterbank at Dakota,0.5132943689823151,0.14501312800816127,0.3328015544722157,0.3623625702328152,-0.04746932784716288
27,SeaHill,0.0,0.0,0.0,0.0,0.0
28,Heritage View,0.0,0.0,0.0,0.0,0.0
29,Limau Park,0.0,0.0,0.0,0.0,0.0
30,Centro Residences,0.0,0.0,0.0,0.0,0.0
